WT1_mRNA WT2_mRNA Mut1_mRNA Mut2_mRNA WT1_total_RNA WT2_total_RNA Mut1_total_RNA Mut2_total_RNA
ENSMUSG00000025534 7192 6788 5407 5314 137 118 88 146
ENSMUSG00000025533 1693 1438 1547 1629 44 33 35 35
ENSMUSG00000025532 1122 766 916 773 23 14 7 26
ENSMUSG00000034118 776 894 820 709 11 23 13 13
ENSMUSG00000034110 702 723 734 717 15 9 8 16
ENSMUSG00000025340 1289 1227 1120 1027 24 17 19 32
ENSMUSG00000080893 1351 888 972 716 21 27 19 21
ENSMUSG00000083146 27 26 38 46 4 1 1 1
ENSMUSG00000053094 4335 4123 3828 3952 100 105 96 101
ENSMUSG00000025337 2462 2542 2092 1923 38 31 43 51
ENSMUSG00000056310 2021 1714 1634 1724 61 64 58 44
ENSMUSG00000060371 0 0 0 0 0 0 0 0
ENSMUSG00000052014 0 0 0 0 0 0 0 0
ENSMUSG00000088972 0 0 0 0 0 0 0 0
ENSMUSG00000034040 0 0 0 0 0 0 0 0
ENSMUSG00000029673 424 447 460 325 24 25 29 14
ENSMUSG00000088123 0 0 0 0 0 0 0 0
ENSMUSG00000058905 140 72 114 91 8 10 5 8
ENSMUSG00000087344 0 0 0 0 0 0 0 0
ENSMUSG00000015944 1155 1324 1941 2255 33 33 59 66
ENSMUSG00000061979 2035 1886 1391 1426 44 34 22 48
ENSMUSG00000015942 1389 1400 1411 1616 28 28 41 61
ENSMUSG00000092991 5 24 8 6 0 1 0 0
ENSMUSG00000084729 16 17 12 12 0 1 1 2
ENSMUSG00000015950 1087 896 1157 857 18 8 26 24
ENSMUSG00000060261 20437 20248 16865 19773 379 466 341 479
ENSMUSG00000092941 0 3 0 0 0 1 0 0
ENSMUSG00000093311 0 0 0 0 0 0 0 0
ENSMUSG00000023079 1859 2365 1327 1724 58 55 40 56
ENSMUSG00000077437 1 0 0 0 0 0 0 0
ENSMUSG00000076320 1 2 0 0 0 0 0 0
ENSMUSG00000072576 1 7 0 2 0 0 0 0
ENSMUSG00000063146 3579 4252 2565 3572 108 114 104 103
ENSMUSG00000085957 23 18 12 11 0 0 0 4
ENSMUSG00000023104 9440 8876 8439 7350 150 133 144 154
ENSMUSG00000040751 1506 1556 2407 3868 26 42 22 85
ENSMUSG00000040731 24859 21107 22052 19621 434 379 390 425
ENSMUSG00000029674 3163 3456 2796 3657 81 92 69 83
ENSMUSG00000072573 17 27 44 6 1 0 1 0
ENSMUSG00000029675 9 9 5 6 0 0 0 0
ENSMUSG00000040576 0 0 0 0 0 0 0 0
ENSMUSG00000008843 587 396 105 50 10 2 1 0
ENSMUSG00000040557 1156 1347 472 791 30 40 16 27
ENSMUSG00000047501 45 13 1 0 1 2 0 0
ENSMUSG00000070473 0 8 0 0 0 0 0 0
ENSMUSG00000054909 0 0 0 0 0 0 0 0
ENSMUSG00000084392 0 0 0 0 0 0 0 0
ENSMUSG00000040532 2427 2400 1940 2194 39 45 38 55
ENSMUSG00000085042 109 91 55 110 1 3 0 4
ENSMUSG00000007207 14 47 34 47 2 0 3 3
ENSMUSG00000005378 2709 2236 2473 1984 33 40 35 53
ENSMUSG00000088008 16 25 18 7 4 3 6 11
ENSMUSG00000061118 445 350 336 399 11 14 13 14
ENSMUSG00000043614 18 6 15 22 1 2 0 0
ENSMUSG00000005373 5 17 0 0 2 1 0 1
ENSMUSG00000005374 2586 2462 2042 2222 53 50 50 49
ENSMUSG00000029681 2130 1762 1977 1911 27 46 28 53
ENSMUSG00000002748 14714 17675 14102 16391 394 396 387 457
ENSMUSG00000080473 0 0 0 0 0 0 0 0
ENSMUSG00000049551 65 112 49 28 6 9 1 0
ENSMUSG00000040013 4 0 8 15 0 0 0 0
ENSMUSG00000053388 1 0 0 0 0 0 0 0
ENSMUSG00000000916 1493 1542 1206 1313 38 33 21 30
ENSMUSG00000053293 7341 7612 6453 7598 240 208 201 225
ENSMUSG00000039959 1209 1280 1376 1705 32 39 45 51
ENSMUSG00000070464 0 0 0 0 0 0 0 0
ENSMUSG00000004814 0 0 23 8 0 0 0 1
ENSMUSG00000039917 3572 4098 2337 2916 77 125 61 89
ENSMUSG00000082001 0 0 0 0 0 0 0 0
ENSMUSG00000005514 8015 8192 7503 7644 161 165 160 204
ENSMUSG00000080972 73 37 48 17 1 2 2 4
ENSMUSG00000039886 731 536 696 709 18 15 14 15
ENSMUSG00000019178 12 0 12 0 0 1 2 0
ENSMUSG00000019179 11393 8922 9090 7745 228 203 181 198
ENSMUSG00000039860 0 0 0 0 0 0 0 0
ENSMUSG00000092803 0 0 0 0 0 0 0 0
ENSMUSG00000085026 0 0 0 0 0 0 0 0
ENSMUSG00000064651 0 0 0 0 0 0 0 0
ENSMUSG00000004951 24 64 82 63 8 7 1 2
ENSMUSG00000051391 15980 14369 13736 13200 436 356 331 410
ENSMUSG00000029699 78 72 47 74 4 1 0 3
ENSMUSG00000004948 0 0 0 0 0 0 0 0
ENSMUSG00000004947 1031 1150 1112 1052 27 45 28 35
ENSMUSG00000042985 0 0 0 0 0 0 0 0
ENSMUSG00000006143 4 11 0 0 0 0 0 0
ENSMUSG00000004952 1627 1716 968 787 26 39 23 29
ENSMUSG00000088188 0 0 0 0 0 0 0 0
ENSMUSG00000086656 6 4 7 0 0 0 0 1
ENSMUSG00000039771 2223 1737 1823 1426 28 32 21 38
ENSMUSG00000029703 5856 5221 5013 5449 90 108 102 186
ENSMUSG00000039754 1002 915 942 1194 21 21 22 20
ENSMUSG00000039747 2838 2512 2901 3225 78 52 72 85
ENSMUSG00000039737 809 695 635 541 29 30 14 18
ENSMUSG00000005057 824 795 364 331 18 29 10 11
ENSMUSG00000029705 16253 15929 10788 13546 532 495 348 532
ENSMUSG00000086220 9 7 9 7 12 3 3 8
ENSMUSG00000093578 93 86 83 40 25 15 18 22
ENSMUSG00000046548 0 0 0 0 0 0 0 0
ENSMUSG00000005474 3694 1561 39 60 44 20 0 0
ENSMUSG00000004415 0 0 3 0 0 0 0 0
ENSMUSG00000092402 0 4 0 0 0 0 0 1
ENSMUSG00000007987 668 606 713 587 10 12 11 13
ENSMUSG00000085062 1972 1689 1339 1157 37 44 18 18
ENSMUSG00000019054 4246 3311 3616 2862 80 88 62 81
ENSMUSG00000001739 82 49 238 74 3 5 5 2
ENSMUSG00000059518 1161 1077 1047 777 29 26 25 19
ENSMUSG00000004846 2876 2923 2869 3062 70 54 62 85
ENSMUSG00000076240 0 0 0 0 0 0 0 0
ENSMUSG00000087244 0 0 0 0 0 0 0 0
ENSMUSG00000037428 14 1 20 16 4 3 2 0
ENSMUSG00000004849 4395 3693 4192 2976 90 76 75 79
ENSMUSG00000037411 284 276 488 419 44 24 19 17
ENSMUSG00000043279 5419 7053 5297 6903 159 170 174 183
ENSMUSG00000037390 0 0 0 0 0 0 0 0
ENSMUSG00000079174 0 0 0 0 0 0 0 0
ENSMUSG00000023328 932 843 1822 1525 19 11 52 36
ENSMUSG00000051502 241 87 440 262 2 4 5 9
ENSMUSG00000037364 13524 13261 11142 12208 226 271 225 267
ENSMUSG00000023348 3107 2766 2351 2010 66 58 40 57
ENSMUSG00000037344 1256 1508 1786 2098 32 49 44 58
ENSMUSG00000029710 972 918 782 712 81 47 37 51
ENSMUSG00000079173 449 961 21 70 7 25 0 3
ENSMUSG00000029711 0 0 0 0 0 0 0 0
ENSMUSG00000029715 874 835 796 567 12 12 19 21
ENSMUSG00000029714 6006 8148 5857 9182 122 182 147 262
ENSMUSG00000029713 17608 15632 18907 16706 325 352 308 393
ENSMUSG00000090873 86 109 85 108 4 2 1 10
ENSMUSG00000029712 5 6 8 0 0 0 0 1
ENSMUSG00000029716 10076 9724 5870 8224 177 187 114 191
ENSMUSG00000037221 4831 3764 4908 4188 101 82 81 116
ENSMUSG00000029718 352 387 350 620 17 18 22 22
ENSMUSG00000089984 144 195 185 309 3 1 4 15
ENSMUSG00000081228 104 88 69 62 1 3 1 1
ENSMUSG00000093445 226 218 171 394 6 5 2 11
ENSMUSG00000029720 292 388 277 446 3 5 4 8
ENSMUSG00000079165 19 13 15 9 0 1 1 0
ENSMUSG00000047182 2 15 0 12 2 0 0 2
ENSMUSG00000029722 1509 1630 1787 1752 32 41 33 52
ENSMUSG00000079163 0 0 0 0 0 0 0 0
ENSMUSG00000082088 568 656 565 554 9 15 10 14
ENSMUSG00000045348 65 107 87 99 1 2 2 3
ENSMUSG00000029723 9161 9537 11135 12161 192 211 225 310
ENSMUSG00000029725 2375 1833 1821 1702 46 33 32 45
ENSMUSG00000029726 5202 5310 5428 5062 108 128 112 147
ENSMUSG00000037108 378 421 509 702 13 6 11 10
ENSMUSG00000046245 139 126 185 234 17 10 6 10
ENSMUSG00000066684 23 28 75 17 4 0 0 2
ENSMUSG00000066682 47 24 59 50 3 2 5 2
ENSMUSG00000029727 39 31 18 46 4 4 1 1
ENSMUSG00000083813 23 24 25 3 0 1 0 0
ENSMUSG00000056966 0 0 0 0 0 0 0 0
ENSMUSG00000037053 0 0 0 0 0 0 0 0
ENSMUSG00000063739 0 3 3 5 0 0 0 0
ENSMUSG00000075599 0 0 0 0 0 0 0 0
ENSMUSG00000075598 0 0 0 0 0 0 0 0
ENSMUSG00000079156 0 0 0 0 0 0 0 0
ENSMUSG00000029729 3537 4416 2680 3305 106 85 92 124
ENSMUSG00000037017 867 1036 854 1007 24 30 18 28
ENSMUSG00000037007 1245 1415 1234 1487 27 29 25 43
ENSMUSG00000019494 3960 3618 3464 2861 77 62 54 69
ENSMUSG00000029730 13676 11361 12912 9474 195 215 252 197
ENSMUSG00000065394 0 0 0 0 0 0 0 0
ENSMUSG00000065527 0 0 0 0 0 0 0 0
ENSMUSG00000065514 0 7 0 10 0 0 0 1
ENSMUSG00000019518 1625 1928 1367 1646 32 29 23 30
ENSMUSG00000036980 3979 3927 3564 3146 74 79 53 87
ENSMUSG00000036968 1255 1149 955 1002 17 16 17 25
ENSMUSG00000049285 288 251 239 194 2 4 1 15
ENSMUSG00000089783 8 51 5 38 0 2 0 2
ENSMUSG00000084469 25 62 38 69 1 1 0 0
ENSMUSG00000047592 681 1098 296 530 19 24 11 19
ENSMUSG00000050552 1374 1372 1347 1358 23 24 31 33
ENSMUSG00000036948 14 7 23 5 1 2 0 0
ENSMUSG00000091964 0 0 0 0 0 0 0 0
ENSMUSG00000085227 127 44 56 112 2 1 0 0
ENSMUSG00000075593 0 0 0 0 0 0 0 0
ENSMUSG00000029510 956 1301 785 1577 14 14 16 26
ENSMUSG00000036928 253 335 235 373 7 4 6 5
ENSMUSG00000075591 2 1 5 2 0 0 0 0
ENSMUSG00000080935 471 354 306 275 8 8 9 10
ENSMUSG00000064892 0 0 0 0 0 0 0 0
ENSMUSG00000036898 906 900 683 1162 26 22 16 34
ENSMUSG00000046440 18 7 33 18 0 0 0 0
ENSMUSG00000029526 0 0 0 0 0 0 0 0
ENSMUSG00000058291 1856 2146 1724 1897 34 40 49 47
ENSMUSG00000092916 0 0 0 0 0 0 0 0
ENSMUSG00000081142 12 18 21 19 3 0 0 2
ENSMUSG00000056014 474 357 321 396 6 5 8 12
ENSMUSG00000025854 287 367 122 132 12 16 7 6
ENSMUSG00000025856 13 52 33 48 6 4 0 1
ENSMUSG00000090903 0 0 0 0 0 0 0 0
ENSMUSG00000075585 61 50 64 40 2 2 9 0
ENSMUSG00000025855 5 21 28 31 0 0 0 0
ENSMUSG00000086873 13 34 26 68 0 2 1 0
ENSMUSG00000025857 1405 1263 1648 1698 48 26 32 58
ENSMUSG00000036817 3140 3622 2430 2718 81 74 55 79
ENSMUSG00000025858 2405 2142 2098 1592 52 36 44 62
ENSMUSG00000056413 3254 2702 2930 2694 63 74 61 85
ENSMUSG00000045438 1175 1027 698 823 13 11 16 27
ENSMUSG00000029541 5 0 0 2 0 0 0 0
ENSMUSG00000053553 2232 1520 1912 1283 27 23 32 36
ENSMUSG00000065593 6 7 0 1 0 0 0 0
ENSMUSG00000044197 1169 1395 1578 2218 50 42 61 91
ENSMUSG00000021206 2 0 5 7 0 0 0 3
ENSMUSG00000044092 217 224 296 349 13 12 16 18
ENSMUSG00000053647 45 53 57 35 6 6 5 11
ENSMUSG00000065300 3 8 0 5 0 0 1 1
ENSMUSG00000053581 825 764 838 672 15 20 18 27
ENSMUSG00000029546 0 0 0 0 0 0 0 0
ENSMUSG00000036718 2524 2777 2459 3292 68 83 72 115
ENSMUSG00000029547 11025 13021 8983 12343 387 370 288 410
ENSMUSG00000018143 3287 2809 2298 2867 78 80 47 75
ENSMUSG00000036687 16 17 0 4 1 4 4 1
ENSMUSG00000029551 852 691 801 657 29 16 15 16
ENSMUSG00000064694 0 0 0 0 3 3 0 1
ENSMUSG00000048988 6 0 0 12 0 0 0 0
ENSMUSG00000029554 2761 2225 2491 1982 73 69 61 67
ENSMUSG00000085673 0 28 11 3 0 2 4 1
ENSMUSG00000087606 16 1 0 14 2 3 8 1
ENSMUSG00000087248 16 9 0 18 1 1 1 2
ENSMUSG00000029557 528 328 538 465 8 9 10 8
ENSMUSG00000036639 1215 967 958 620 18 21 11 16
ENSMUSG00000029560 1095 914 1133 1143 27 30 29 25
ENSMUSG00000056076 20961 17634 18174 15638 426 399 368 429
ENSMUSG00000036599 2830 2543 2772 2531 53 65 51 79
ENSMUSG00000036586 0 0 0 0 0 0 0 0
ENSMUSG00000029570 2162 2306 1802 1766 55 58 54 47
ENSMUSG00000036565 18385 19014 21679 27775 384 471 557 724
ENSMUSG00000036555 1814 1877 1438 1594 49 60 43 47
ENSMUSG00000000148 1660 2020 1643 2071 56 52 40 66
ENSMUSG00000050022 175 148 195 216 8 2 1 2
ENSMUSG00000000149 4886 4239 4968 4690 122 92 107 157
ENSMUSG00000036526 249 305 48 95 5 8 5 1
ENSMUSG00000093344 0 0 0 0 0 0 0 0
ENSMUSG00000039683 19 21 0 0 2 0 1 1
ENSMUSG00000083382 13 17 22 11 0 1 0 0
ENSMUSG00000084934 0 0 0 0 0 0 0 0
ENSMUSG00000089164 0 0 0 0 0 0 0 0
ENSMUSG00000085540 0 0 0 0 0 0 0 0
ENSMUSG00000056493 4860 5617 4681 6178 131 169 172 225
ENSMUSG00000039623 1313 1609 1226 1851 21 45 27 69
ENSMUSG00000029576 0 0 0 14 0 0 0 0
ENSMUSG00000074817 0 4 0 6 0 0 0 1
ENSMUSG00000039533 0 2 0 0 0 0 0 0
ENSMUSG00000029578 5083 5427 4739 5164 128 133 113 148
ENSMUSG00000050822 25 19 6 1 4 1 0 0
ENSMUSG00000079129 0 0 0 0 0 0 0 0
ENSMUSG00000079127 0 0 0 0 0 0 0 0
ENSMUSG00000039477 5707 9041 5596 9584 300 340 304 389
ENSMUSG00000082308 107 80 125 84 2 1 2 5
ENSMUSG00000066640 2104 2138 1562 1911 61 76 60 69
ENSMUSG00000013989 33 118 26 55 2 2 1 5
ENSMUSG00000029580 106401 88558 101339 82632 3051 2847 3015 3480
ENSMUSG00000029581 712 635 50 53 15 11 2 1
ENSMUSG00000045078 4863 4885 4591 5447 116 123 137 147
ENSMUSG00000090981 0 0 0 0 0 0 0 0
ENSMUSG00000061898 878 817 795 961 18 22 15 20
ENSMUSG00000029586 0 0 0 0 0 0 0 0
ENSMUSG00000039296 0 0 0 0 0 0 0 0
ENSMUSG00000089879 0 0 0 0 0 0 0 0
ENSMUSG00000029587 2050 2540 1639 2146 38 64 40 59
ENSMUSG00000046658 1934 2057 1308 1980 56 54 29 67
ENSMUSG00000039244 3566 2945 3112 2749 67 75 72 78
ENSMUSG00000001844 2027 1689 1676 1575 20 31 34 43
ENSMUSG00000089889 22 44 36 42 0 0 1 1
ENSMUSG00000010825 10 2 19 0 0 2 0 0
ENSMUSG00000093720 10 0 8 0 1 0 0 0
ENSMUSG00000045345 39 14 1 6 0 0 0 0
ENSMUSG00000079111 3091 2615 3301 2440 85 56 53 72
ENSMUSG00000039206 1525 1482 1478 2314 53 50 65 92
ENSMUSG00000001847 11042 9953 12559 11732 205 214 261 268
ENSMUSG00000048910 0 0 0 0 0 0 0 0
ENSMUSG00000083012 39 47 19 19 0 2 0 1
ENSMUSG00000018001 2164 2136 1744 1779 38 43 29 48
ENSMUSG00000051306 2059 2211 1480 1764 52 55 40 69
ENSMUSG00000087189 487 637 201 464 10 13 4 6
ENSMUSG00000029613 2776 2601 2814 2317 44 55 48 60
ENSMUSG00000029607 100 97 69 97 3 4 10 11
ENSMUSG00000029610 1406 1217 999 1040 28 27 20 16
ENSMUSG00000079109 1677 1702 1514 1639 35 30 33 45
ENSMUSG00000091351 4 3 9 0 0 0 1 0
ENSMUSG00000075569 13 18 5 12 1 0 2 0
ENSMUSG00000029617 2383 2149 2005 2005 37 36 47 40
ENSMUSG00000064963 4 2 0 0 0 0 0 0
ENSMUSG00000029618 0 0 0 0 0 0 0 0
ENSMUSG00000038970 3181 3620 2979 3288 101 94 100 152
ENSMUSG00000052271 119 311 81 128 1 5 4 1
ENSMUSG00000066621 1491 1905 1826 2350 80 62 65 80
ENSMUSG00000087484 62 68 22 65 4 1 0 1
ENSMUSG00000047843 1659 1499 1346 1322 53 27 30 29
ENSMUSG00000038859 163 238 197 193 20 13 4 10
ENSMUSG00000086894 29 41 8 41 0 2 3 3
ENSMUSG00000083574 0 0 0 0 0 0 0 0
ENSMUSG00000059991 2 0 0 0 0 0 0 0
ENSMUSG00000082524 0 0 0 0 0 0 0 0
ENSMUSG00000043388 4 11 12 3 0 0 0 0
ENSMUSG00000045482 11445 14630 9063 14360 432 468 339 586
ENSMUSG00000088685 0 0 0 0 0 0 0 1
ENSMUSG00000038780 1458 1582 1361 1487 54 43 32 41
ENSMUSG00000038770 0 0 0 0 0 0 0 0
ENSMUSG00000061707 0 0 0 0 0 0 0 0
ENSMUSG00000029620 0 0 0 0 0 0 0 0
ENSMUSG00000029621 3844 3628 3316 3228 76 63 68 71
ENSMUSG00000029622 13307 11849 13896 12553 287 246 247 350
ENSMUSG00000029623 4985 3514 3942 3141 93 84 61 91
ENSMUSG00000038722 1719 1547 1859 1422 30 26 33 36
ENSMUSG00000029624 1156 1255 1115 1320 33 32 40 40
ENSMUSG00000029625 3022 2810 2979 2517 48 62 59 61
ENSMUSG00000038690 3311 2462 2850 1655 69 61 54 70
ENSMUSG00000029627 587 495 704 706 18 12 15 25
ENSMUSG00000093455 0 11 0 0 0 0 0 0
ENSMUSG00000055991 721 866 643 916 20 23 13 26
ENSMUSG00000007812 1432 1478 1269 1483 33 44 42 60
ENSMUSG00000070420 1259 1076 1087 1091 32 25 22 43
ENSMUSG00000070419 0 0 0 0 0 0 0 0
ENSMUSG00000038656 0 0 0 0 0 0 0 0
ENSMUSG00000075552 0 0 0 0 0 0 0 0
ENSMUSG00000075551 0 0 0 0 0 0 0 0
ENSMUSG00000054417 0 0 0 0 0 0 0 0
ENSMUSG00000056035 0 0 0 0 0 0 0 0
ENSMUSG00000029630 0 0 0 0 0 0 0 0
ENSMUSG00000061292 0 0 0 0 0 0 0 0
ENSMUSG00000079096 0 7 0 9 1 0 0 1
ENSMUSG00000029634 2932 3029 2305 2875 85 48 58 77
ENSMUSG00000029635 1772 1550 1541 1494 50 51 29 45
ENSMUSG00000080957 16 4 4 31 1 1 1 1
ENSMUSG00000093077 27555 36866 26129 35218 532 591 571 588
ENSMUSG00000029636 0 1 0 0 0 0 0 0
ENSMUSG00000079094 0 0 0 0 0 0 0 0
ENSMUSG00000079093 0 0 0 0 0 0 0 0
ENSMUSG00000041505 0 0 0 0 0 0 0 0
ENSMUSG00000079091 0 0 0 0 0 0 0 0
ENSMUSG00000079090 0 0 0 0 0 0 0 0
ENSMUSG00000079089 0 0 0 0 0 0 0 0
ENSMUSG00000041468 0 0 1 0 0 0 0 0
ENSMUSG00000029640 2116 2513 2069 2179 27 47 48 49
ENSMUSG00000041453 1343 1248 975 843 40 31 34 31
ENSMUSG00000077185 0 0 0 0 0 0 0 0
ENSMUSG00000077564 0 0 11 11 0 0 0 0
ENSMUSG00000029641 9 21 31 4 0 0 0 0
ENSMUSG00000075546 0 0 0 0 0 0 0 0
ENSMUSG00000016503 1854 1892 1405 1498 28 30 31 34
ENSMUSG00000016510 584 537 581 601 11 14 12 16
ENSMUSG00000016520 1198 1124 1167 1391 34 33 29 57
ENSMUSG00000029642 1627 1517 1671 1309 38 27 33 35
ENSMUSG00000083988 7 15 23 8 0 0 1 2
ENSMUSG00000053129 0 0 0 0 0 0 0 0
ENSMUSG00000077735 0 0 0 0 0 0 0 0
ENSMUSG00000092570 0 0 0 0 0 0 0 0
ENSMUSG00000029644 0 0 0 0 0 0 0 0
ENSMUSG00000029646 73 86 146 109 10 9 4 4
ENSMUSG00000075543 0 0 0 0 0 0 0 0
ENSMUSG00000042817 4444 5928 2005 3201 76 109 47 73
ENSMUSG00000091377 16 36 16 12 2 5 0 2
ENSMUSG00000057157 25 30 27 24 0 1 0 3
ENSMUSG00000029647 9966 12468 8138 12579 284 318 255 412
ENSMUSG00000029648 107 75 144 103 2 3 6 6
ENSMUSG00000029649 4493 3431 4356 3113 60 41 62 62
ENSMUSG00000029650 323 225 428 446 4 9 12 13
ENSMUSG00000085565 0 0 0 0 0 0 0 0
ENSMUSG00000029651 163 151 105 193 11 6 5 4
ENSMUSG00000066554 2685 2040 2613 1631 46 41 41 29
ENSMUSG00000041313 5603 4619 3701 3553 141 134 104 132
ENSMUSG00000001687 1987 2161 1937 1836 48 71 60 50
ENSMUSG00000086494 5 0 0 0 0 0 0 0
ENSMUSG00000084513 0 0 0 0 0 0 0 0
ENSMUSG00000085740 0 0 0 0 0 0 0 0
ENSMUSG00000087647 0 0 0 0 0 0 0 0
ENSMUSG00000041298 942 1180 645 969 28 23 21 26
ENSMUSG00000085639 0 0 0 0 0 0 0 0
ENSMUSG00000085237 0 0 0 1 0 0 0 0
ENSMUSG00000079069 10 7 0 0 0 0 0 0
ENSMUSG00000085455 30 29 39 54 0 0 0 3
ENSMUSG00000087272 0 0 4 13 0 0 0 0
ENSMUSG00000085971 63 58 10 13 0 5 0 1
ENSMUSG00000086610 37 66 13 16 0 1 0 2
ENSMUSG00000066551 3941 4389 4302 3969 49 69 59 95
ENSMUSG00000086085 9 38 17 0 0 0 0 2
ENSMUSG00000092764 0 4 0 0 0 0 0 0
ENSMUSG00000024437 136 128 118 80 3 1 5 1
ENSMUSG00000041264 2433 2547 2187 2305 53 60 53 58
ENSMUSG00000092674 0 0 0 0 1 0 0 0
ENSMUSG00000060063 6477 5459 5383 5159 98 100 97 116
ENSMUSG00000064704 25 10 5 1 0 3 0 0
ENSMUSG00000075529 0 0 0 0 0 0 0 0
ENSMUSG00000029659 27 4 0 0 0 1 0 0
ENSMUSG00000092327 0 0 0 0 0 0 0 0
ENSMUSG00000029660 4 2 0 9 0 1 0 1
ENSMUSG00000086744 0 0 0 0 0 0 0 0
ENSMUSG00000082959 0 0 0 0 0 0 0 0
ENSMUSG00000029658 0 2 11 9 0 0 0 0
ENSMUSG00000029657 4434 3639 3688 3235 69 62 73 77
ENSMUSG00000080002 353 380 324 238 8 5 7 10
ENSMUSG00000051950 1200 1303 874 705 17 16 18 15
ENSMUSG00000053368 0 0 0 0 0 0 0 0
ENSMUSG00000056602 1898 2344 2937 3450 80 70 107 168
ENSMUSG00000087984 0 0 0 0 0 0 0 0
ENSMUSG00000056586 0 0 0 0 0 0 0 0
ENSMUSG00000082104 0 0 0 0 0 0 0 0
ENSMUSG00000041147 2428 3373 2079 2399 79 83 75 80
ENSMUSG00000075784 0 0 0 0 0 1 0 0
ENSMUSG00000088482 3 0 0 0 0 0 1 0
ENSMUSG00000041132 541 718 714 940 12 12 12 29
ENSMUSG00000029655 3363 3212 3091 3432 69 76 70 110
ENSMUSG00000034021 4462 5085 4384 5485 105 100 101 137
ENSMUSG00000084717 5 0 0 0 0 0 0 1
ENSMUSG00000077592 0 0 3 3 0 0 0 2
ENSMUSG00000087709 0 0 0 0 0 0 0 0
ENSMUSG00000058488 0 0 0 0 0 0 0 0
ENSMUSG00000016128 94 120 56 53 2 6 2 5
ENSMUSG00000087548 26 17 23 12 2 1 1 3
ENSMUSG00000054622 0 0 0 3 1 3 1 0
ENSMUSG00000091794 0 0 0 0 0 0 0 0
ENSMUSG00000033970 2147 1915 2184 1616 39 24 19 32
ENSMUSG00000075798 0 0 0 0 0 0 0 0
ENSMUSG00000047735 2022 2836 2071 2790 38 35 45 69
ENSMUSG00000044156 9 7 0 6 0 0 0 0
ENSMUSG00000001376 1063 1304 1056 1089 28 18 34 31
ENSMUSG00000023964 0 0 0 0 0 0 0 0
ENSMUSG00000076357 0 0 0 0 0 0 0 0
ENSMUSG00000070107 0 0 0 0 0 0 0 0
ENSMUSG00000029664 9 4 24 21 0 0 0 0
ENSMUSG00000029663 0 0 0 0 0 0 0 0
ENSMUSG00000032766 812 697 2147 1647 13 8 29 26
ENSMUSG00000032757 1623 1553 2069 1911 19 13 16 39
ENSMUSG00000087863 0 0 0 0 0 0 0 0
ENSMUSG00000029661 1705 1578 1431 74 34 24 24 0
ENSMUSG00000015189 3557 3898 3649 3860 55 67 68 92
ENSMUSG00000004631 726 852 837 926 12 9 12 11
ENSMUSG00000092035 117 134 71 86 3 3 3 4
ENSMUSG00000093570 0 0 0 0 0 0 0 0
ENSMUSG00000083041 3063 2460 3271 2995 46 59 53 60
ENSMUSG00000032827 2537 3585 1711 2784 49 83 57 91
ENSMUSG00000002588 0 0 0 0 0 0 0 0
ENSMUSG00000029759 751 754 768 911 12 9 9 18
ENSMUSG00000032667 2112 1873 1546 1953 35 31 23 37
ENSMUSG00000042607 20 9 29 13 0 0 0 0
ENSMUSG00000019577 42 53 27 45 0 1 1 3
ENSMUSG00000029757 16 35 0 7 0 0 0 0
ENSMUSG00000085416 0 0 0 0 1 0 0 0
ENSMUSG00000015112 1616 1807 1300 917 31 31 36 28
ENSMUSG00000093482 2 0 0 0 0 0 0 0
ENSMUSG00000093658 0 0 0 0 0 0 0 0
ENSMUSG00000093380 0 0 0 0 0 0 0 0
ENSMUSG00000042541 3868 2963 3750 2144 75 57 70 64
ENSMUSG00000093675 0 0 0 0 0 0 0 0
ENSMUSG00000093581 0 0 0 0 0 0 0 0
ENSMUSG00000093651 338 299 383 298 21 9 11 4
ENSMUSG00000090063 0 0 0 0 0 0 0 0
ENSMUSG00000029754 2 0 0 0 0 0 1 0
ENSMUSG00000029755 0 0 0 0 0 0 0 0
ENSMUSG00000065770 0 0 0 0 0 0 0 0
ENSMUSG00000090567 0 0 0 0 0 0 0 0
ENSMUSG00000042505 207 292 254 255 4 1 8 6
ENSMUSG00000061762 0 0 0 0 0 0 0 0
ENSMUSG00000029752 2338 1718 562 503 62 34 15 23
ENSMUSG00000042460 1365 1686 632 929 38 31 32 22
ENSMUSG00000084418 0 0 0 0 0 0 0 0
ENSMUSG00000048365 2487 2670 2652 2591 39 39 46 42
ENSMUSG00000068794 20 14 0 0 0 0 0 0
ENSMUSG00000042447 1881 1576 1244 1382 43 38 30 33
ENSMUSG00000012483 696 534 811 540 11 8 11 8
ENSMUSG00000089862 733 743 585 830 10 7 16 12
ENSMUSG00000089890 0 0 7 7 0 1 0 1
ENSMUSG00000089735 3 4 13 20 3 2 2 2
ENSMUSG00000090151 0 0 0 0 1 0 0 0
ENSMUSG00000088118 0 0 0 0 0 0 0 0
ENSMUSG00000087305 61 70 39 45 0 1 0 1
ENSMUSG00000077250 0 0 0 0 0 0 0 0
ENSMUSG00000029638 99 196 49 137 13 14 4 11
ENSMUSG00000090407 0 0 0 0 0 0 0 0
ENSMUSG00000090234 0 0 0 0 0 0 0 0
ENSMUSG00000062995 1537 1643 1578 1462 32 32 29 33
ENSMUSG00000046178 14 16 93 92 2 0 3 12
ENSMUSG00000092676 0 0 0 0 0 0 0 0
