WT1_mRNA WT2_mRNA Mut1_mRNA Mut2_mRNA WT1_total_RNA WT2_total_RNA Mut1_total_RNA Mut2_total_RNA
ENSMUSG00000026087 1330 1145 1207 935 28 24 26 13
ENSMUSG00000061584 0 0 0 0 0 0 0 0
ENSMUSG00000087374 0 0 0 0 0 0 0 0
ENSMUSG00000026085 0 0 0 0 0 0 0 0
ENSMUSG00000089141 0 0 0 0 0 0 0 0
ENSMUSG00000058407 1559 1357 1365 1302 42 29 26 24
ENSMUSG00000026083 4869 5333 5209 5828 142 93 109 161
ENSMUSG00000026082 1546 1903 1221 1474 29 46 34 46
ENSMUSG00000037138 9565 10585 3997 5903 361 386 161 284
ENSMUSG00000085391 59 24 2 29 8 6 2 12
ENSMUSG00000085280 23 69 40 18 3 2 5 6
ENSMUSG00000087131 54 69 23 65 14 8 9 10
ENSMUSG00000048814 71 46 2 0 2 4 0 0
ENSMUSG00000026080 289 229 17 69 4 3 1 1
ENSMUSG00000067604 0 0 0 0 0 0 0 0
ENSMUSG00000026078 1541 1308 1409 1375 35 17 20 31
ENSMUSG00000026077 37 21 40 12 3 1 1 0
ENSMUSG00000092553 0 2 0 0 0 0 0 0
ENSMUSG00000092563 0 0 0 0 1 0 0 0
ENSMUSG00000073702 343 215 218 192 11 12 6 13
ENSMUSG00000003134 852 1187 794 1185 40 38 27 52
ENSMUSG00000065629 0 0 0 0 0 0 0 0
ENSMUSG00000003135 2670 2597 2181 2372 48 55 48 69
ENSMUSG00000085894 72 64 52 84 4 4 3 2
ENSMUSG00000077704 21 43 34 39 1 2 5 1
ENSMUSG00000048234 1514 1318 1393 1504 37 30 37 44
ENSMUSG00000064936 3 1 9 1 0 0 0 0
ENSMUSG00000050967 0 13 0 2 0 1 0 0
ENSMUSG00000090677 0 0 0 0 0 0 0 0
ENSMUSG00000057173 61 39 3 4 2 2 0 0
ENSMUSG00000091937 0 0 0 0 0 0 0 0
ENSMUSG00000026074 7824 9430 7554 10095 203 201 188 294
ENSMUSG00000086705 6 10 8 35 1 2 0 2
ENSMUSG00000026073 22 35 62 21 0 2 1 1
ENSMUSG00000026072 1525 1505 220 244 27 32 1 4
ENSMUSG00000070942 199 391 97 49 3 6 4 1
ENSMUSG00000026069 772 590 4817 6908 15 15 95 156
ENSMUSG00000026070 234 437 16 3 2 0 0 3
